languages,price,video_transcripts,title,subject,level,institution,length,prerequisites,short_description,effort
"Learn skills and listen to examples from world-renown entrepreneurs and innovators as they discuss the parallels between the creative and entrepreneurial journeys -- and why entrepreneurship, much like music or creativity, is something we all possess.",English,None,Business & Management,5 hours per week,Creativity & Entrepreneurship,English,Introductory,BerkleeX,FREE,4 weeks
Explore what is meant by human rights through learning about the development of the conventional understanding of universal human rights as well as some of the major critiques of the concept.,English,None.,Social Sciences,8-10 hours per week,Human Rights Theory and Philosophy,English,Advanced,CurtinX,FREE,12 weeks
"Apply tools of single-variable calculus to create and analyze mathematical models used by real practitioners in social, life, and physical sciences.",English,"Single-variable Calculus (derivatives, integrals and basics of differential equations); College or AP/IB High School Level",Math,3-6 hours per week,Calculus Applied!,English,Intermediate,HarvardX,FREE,7-9 weeks
Learn how elite leaders conceive and execute strategies that drive the world’s fastest growing digital companies.,English,None,Business & Management,4-6 hours per week,Digital Strategy and Action,English,Introductory,BabsonX,FREE,4 weeks
"Learn how integrated systems and individual actions can shape sustainable cities, generating higher quality of life for the future.",English,None,Environmental Studies,2 - 4 hours per week,Sustainable Urban Environments,English,Introductory,TrinityX,FREE,6 weeks
Create profitable Apps using proven business models and earn money by developing your Android App using AdMob and more.,English,,Computer Science,6-8 hours per week,Monetize Android Apps with Business Models,English,Intermediate,GalileoX,FREE,5 weeks
An in-depth adventure through RNA Processing and Translation. Strengthen your scientific thinking and biological experimental design skills.,English,"7.00x Introduction to Biology or similar (undergraduate biochemistry, molecular biology, and genetics), 7.28.1x and 7.28.2x Molecular Biology or similar (advanced understanding of the central dogma)",Biology & Life Sciences,4-8 hours per week,Molecular Biology – Part 3: RNA Processing and Translation,English,Advanced,MITx,FREE,8 weeks
"Learn how magnetic devices, such as hard drives and magneto-optical disks, are designed to exploit the magnetic properties of materials.",English,,Engineering,8-12 hours per week,Magnetic Materials and Devices,English,Advanced,MITx,FREE,4 weeks
"The application of knowledge to design and build devices, systems, materials and processes in engineering.",English,,Engineering,4-6 hours per week,Introduction to Engineering,English,Introductory,UTArlingtonX,FREE,8 weeks
Gain insight into the different perspectives and trends facing development workers to lead more effectively across sectors and organizations.,English,"Participants should have experience, or a strong interest in working in development. While not compulsory, it is recommended that learners have completed a bachelor degree in a relevant discipline.",Social Sciences,10-12 hours per week,Critical Development Perspectives,English,Advanced,UQx,FREE,10 weeks
Learn project management best practices to promote economic and social development in Latin America and the Caribbean.,English,None,Business & Management,6 hours per week,Project Management Techniques for Development Professionals,English,Introductory,IDBx,FREE,5 weeks
