course_link,price,title,subject,level,institution,length,prerequisites,short_description,effort
"Learn best practices for automating, monitoring, and maintaining SQL Server.",,4 weeks,FREE,Managing SQL Server Operations,Computer Science,2-3 hours per week,https://www.edx.org/course/managing-sql-server-operations-microsoft-dat247x,Intermediate,Microsoft
"Learn how to design, build, and program dynamical, legged robots that can operate in the real world.",,12 weeks,FREE,Robotics: Locomotion Engineering,Engineering,8-10 hours per week,https://www.edx.org/course/robotics-locomotion-engineering-pennx-robo4x,Advanced,PennX
"Essential knowledge for every web developer, discover important principles of modern web security, and learn about current security best practices.","Understanding of basic web technologies (HTTP, HTML, JS, â€_)",5 weeks,FREE,Web Security Fundamentals,Computer Science,4-6 hours per week,https://www.edx.org/course/web-security-fundamentals-kuleuvenx-websecx,Introductory,KULeuvenX
"Whether you are a student, basic scientist, researcher, clinician, or librarian, this course is designed to help you understand, analyze, and interpret biomedical big data.",,8 weeks,FREE,Demystifying Biomedical Big Data: A Userâ€™s Guide,Biology & Life Sciences,3-6 hours per week,https://www.edx.org/course/demystifying-biomedical-big-data-users-georgetownx-biox-201-01x-0,Intermediate,GeorgetownX
"Learn to host your apps in the cloud with Azure App Service Web Apps. Create, build, and deploy with your favorite tools and frameworks.","Some basic programming skills are required.
A general understanding of Web App development and modern development tools will be beneficial.",4 Weeks,FREE,Getting Started with Azure App Service: Web Apps,Computer Science,2 â€“ 3 hours per week,https://www.edx.org/course/getting-started-azure-app-service-web-microsoft-dev223x,Introductory,Microsoft
Explore and understand your own theories of learning and leadership. Gain the tools to imagine and build the future of learning.,None,6 weeks,FREE,Leaders of Learning,Education & Teacher Training,2-4 hours per week,https://www.edx.org/course/leaders-learning-harvardx-gse2x-1,Introductory,HarvardX
"Learn how to implement Microsoft Windows Server basic storage technologies, including disks, volumes, file systems, permissions, sharing and more. ",,Missing,FREE,Windows Server 2016: Basic Storage,Computer Science,4 - 5 hours per week,https://www.edx.org/course/windows-server-2016-basic-storage-microsoft-inf213x,Introductory,Microsoft
"Learn to use ADO.NET and Entity Framework to create client applications that read, write, and modify data.",,4 weeks,FREE,Developing Data Client Applications and Services,Computer Science,2 â€“ 4 hours per week,https://www.edx.org/course/developing-data-client-applications-microsoft-dev256x,Intermediate,Microsoft
"Learn the basics of food access decision-making. In other words, who decides what ends up on your plate. Spoiler alert: itâ€™s not just you!","Secondary school, undergraduate (first/second year BSc) students",6 weeks,FREE,Sustainable Food Security: Food Access,Food & Nutrition,6-8 hours per week,https://www.edx.org/course/sustainable-food-security-food-access-wageningenx-fssfax,Introductory,WageningenX
"Learn how the Customer Protection Rule, 15C3-3, safeguards customer interests and how it affects the regulatory environment within firms.",Missing,2 weeks,Missing,Customer Protection Rule 15C3-3,Economics & Finance,2-3 hours per week,https://www.edx.org/course/customer-protection-rule-15c3-3-new-york-institute-finance-cprx,Intermediate,New York Institute of Finance
In this course you will learn project management standards and frameworks that increase efficiency and deliver tangible business benefits.,None.,4 weeks,FREE,Strategic Applications of IT Project & Program Management,Business & Management,2-5 hours per week,https://www.edx.org/course/strategic-applications-it-project-uwashingtonx-pm-it-001x,Introductory,UWashingtonX
Learn how statistics plays a central role in the data science approach.,High School Math. Some exposure to computer programming.,5 weeks,FREE,Statistical Thinking for Data Science and Analytics,Data Analysis & Statistics,7 - 10 hours per week,https://www.edx.org/course/statistical-thinking-data-science-columbiax-ds101x-1,Introductory,ColumbiaX
Learn the principles of machine learning and the importance of algorithms.,,5 weeks,FREE,Machine Learning for Data Science and Analytics,Data Analysis & Statistics,7-10 hours per week,https://www.edx.org/course/machine-learning-data-science-analytics-columbiax-ds102x-1,Introductory,ColumbiaX
Discover the relationship between Big Data and the Internet of Things (IoT).,,5 weeks,FREE,Enabling Technologies for Data Science and Analytics: The Internet of Things,Data Analysis & Statistics,7-10 hours per week,https://www.edx.org/course/enabling-technologies-data-science-columbiax-ds103x-1,Introductory,ColumbiaX
"Learn how to effectively lead in a technology-driven world, define your personal leadership journey, and make your career choices.","The course is designed specifically for individuals who are currently enrolled in an engineering program or who are in possession of an engineering degree. However, people with working experience or a strong interest in the topic are welcome to participate.",5 weeks,FREE,Leadership for Engineers,Business & Management,2 - 4 hours/week,https://www.edx.org/course/leadership-engineers-delftx-lfe101x-1,Intermediate,DelftX
Learn how virtual reality technology works by writing simple VR programs with WebVR.,,6 weeks,FREE,How Virtual Reality (VR) Works,Computer Science,5-7 hours per week,https://www.edx.org/course/how-virtual-reality-vr-works-uc-san-diegox-cse165x,Introductory,UC San DiegoX
Learn how to manage the complex dynamics of a family business and sustain your enterprise into future generations.,None,6 weeks,FREE,Family Business â€“ Strategy Essentials,Business & Management,3-4 hours per week,https://www.edx.org/course/family-business-strategy-essentials-ubcx-fbsex1-0,Introductory,UBCx
Learn how to design large software systems that solve real-world problems using object-oriented design techniques.,,6 weeks,FREE,Software Construction: Object-Oriented Design,Computer Science,8-10 hours per week,https://www.edx.org/course/software-construction-object-oriented-ubcx-softconst2x,Intermediate,UBCx
"Learn how international law regulates armed conflicts, protects individuals in wartime, and guarantees minimum compliance.",,11 weeks,FREE,International Humanitarian Law,Humanities,8-12 hours per week,https://www.edx.org/course/international-humanitarian-law-louvainx-louv16x-0,Advanced,LouvainX
How to deal with risks and ethical questions raised by development of new technologies.,Missing,7 weeks,FREE,"Responsible Innovation: Ethics, Safety and Technology",Ethics,4-6 hours/week,https://www.edx.org/course/responsible-innovation-ethics-safety-delftx-ri101x-0,Intermediate,DelftX
Learn how to creatively reuse digital cultural content from professionals of the Europeana Space network.,None,8 weeks,FREE,Europeana Space: Creative with Digital Heritage,Art & Culture,2-4 hours per week,https://www.edx.org/course/europeana-space-creative-digital-kuleuvenx-eurospacex-0,Intermediate,KULeuvenX
Learn how to read and interpret financial statements and manage costs to take informed business decisions.,An overall understanding of business environment is required.,7 weeks,FREE,Accounting for Decision-Making,Business & Management,4-5 hours per week,https://www.edx.org/course/accounting-decision-making-iimbx-ac103x-0,Intermediate,IIMBx
A teaching course for K-12 teachers about the science of learning and how to use current research to improve classroom outcomes.,None,4 sections,FREE,The Science of Learning - What Every Teacher Should Know,Education & Teacher Training,20 hours total,https://www.edx.org/course/science-learning-what-every-teacher-teacherscollegex-edsci1x-0,Intermediate,TeachersCollegeX
"Learn how to plan, conduct and analyze psychological research and effectively communicate the results.",None,7 weeks,FREE,Introduction to Psychological Research Methods,Social Sciences,1 - 2 hours per week,https://www.edx.org/course/introduction-psychological-research-uqx-psyc1030-4x,Introductory,UQx
Become a successful leader by learning 21st-century leadership skills and applying concepts to the real world.,None,4 weeks,FREE,Becoming a Successful Leader (Inclusive Leadership Training),Business & Management,1 - 1.5 hours per week,https://www.edx.org/course/becoming-successful-leader-inclusive-catalystx-il2x-0,Introductory,CatalystX
Beginners' Chinese course from China's top university.,None,6 weeks,FREE,Tsinghua Chinese: Start Talking with 1.3 Billion People,Language,4 hours per week,https://www.edx.org/course/tsinghua-chinese-start-talking-1-3-tsinghuax-tm01x-0,Introductory,TsinghuaX
Develop skills to go beyond balance and better manage work-life priorities as individuals and leaders.,None,4 weeks,FREE,Get Beyond Work-Life Balance (Inclusive Leadership Training),Business & Management,1 - 1.5 hours per week,https://www.edx.org/course/get-beyond-work-life-balance-inclusive-catalystx-il4x-0,Introductory,CatalystX
Develop communication skills that bring out the best in you â€” and in others.,None,4 weeks,FREE,Leading With Effective Communication (Inclusive Leadership Training),Business & Management,1.5 - 2 hours per week,https://www.edx.org/course/leading-effective-communication-catalystx-il5x-0,Introductory,CatalystX
Discover the foundational concepts that support modern data science and learn to analyze various data types and quality to make smart business decisions.,Algebra,4 weeks,FREE,Analytics for Decision Making,Business & Management,4-6 hours per week,https://www.edx.org/course/analytics-decision-making-babsonx-bpet-statx-0,Introductory,BabsonX
Learn key computer science topics to better teach your students and prepare for the Praxis & TExES Computer Science certification test.,None,6 weeks,FREE,Foundations of Computer Science for Teachers,Education & Teacher Training,4-6 hours per week,https://www.edx.org/course/foundations-computer-science-teachers-utaustinx-ut-wtcs-15-01x-0,Introductory,UTAustinX
"This college-level, credit-eligible Precalculus course will teach you the skills required for success in future Calculus studies.",,Each student's path to mastery is individual,FREE,Precalculus,Math,Student progress through the course is self-paced,https://www.edx.org/course/precalculus-asux-mat170x,Intermediate,ASUx
Start creating and managing your own connected IoT devices today using secure Microsoft Azure technologies.,"- Basic programming skills are required.
- Experience programming in C, Java, JavaScript, or C# will be beneficial.
- Experience programming a Raspberry Pi, Arduino, or other single-board computer will be beneficial.",4 weeks,FREE,Developing IoT Solutions with Azure IoT,Computer Science,2-3 hours per week,https://www.edx.org/course/developing-iot-solutions-azure-iot-microsoft-dev225x,Introductory,Microsoft
Learn how to achieve effective communication by evaluating evidence to identify and support the best communications strategies for your business.,Students are required to have completed EBM01x. This course is a graduate level course that assumes an undergraduate degree level understanding in a non-cognate area.,6 weeks,FREE,Evidence-Based Business Communication,Business & Management,8-10 hours per week,https://www.edx.org/course/evidence-based-business-communication-anux-ebm02x,Intermediate,ANUx
"Learn Mandarin Chinese with practice in extensive vocabulary, phrases and sentence structures used in daily communication in Mandarin Chinese.",None,6 weeks,FREE,Basic Mandarin Chinese â€“ Level 2,Language,4 hours per week,https://www.edx.org/course/basic-mandarin-chinese-level-2-mandarinx-mx102x-1,Introductory,MandarinX
"Learn how to teach design thinking in the K-12 classroom using Cooper Hewitt, Smithsonian Design Museumâ€™s innovative classroom activity.",None,5 weeks,FREE,"Design in the Classroom with Cooper Hewitt, Smithsonian Design Museum",Education & Teacher Training,1-2 hours per week,https://www.edx.org/course/design-classroom-cooper-hewitt-smithsonianx-eddesign1-1x,Introductory,SmithsonianX
"Learn how to implement and manage Windows Server Active Directory Domain Services (AD DS) to provide a scalable, secure, and manageable infrastructure.",None.,Missing,FREE,Windows Server 2016: Directory Services,Computer Science,4 - 5 hours per week,https://www.edx.org/course/windows-server-2016-directory-services-microsoft-inf212x,Introductory,Microsoft
"Learn how to conduct research, surveys, and interviews as well as how to analyze data to better assess the local needs and wants of a public library community.",Access to a public library community,4 weeks,FREE,Identifying Community Needs for Public Library Management,Social Sciences,4/5 hours per week,https://www.edx.org/course/identifying-community-needs-public-michiganx-publib601x,Introductory,MichiganX
"Learn basic R programming to analyze biological big data to locate genes, perform simulations, and gauge the effect of specific markers.",,8 weeks,FREE,Statistical Analysis in Bioinformatics,Biology & Life Sciences,8-10 hours per week,https://www.edx.org/course/statistical-analysis-bioinformatics-usmx-university-maryland-university-bif003x,Advanced,USMx
Learn how to use technology innovation as a tool to fight poverty and enable sustainable development.,None.,6 weeks,FREE,Technology Innovation for Sustainable Development,Engineering,2-3 hours per week,https://www.edx.org/course/technology-innovation-sustainable-epflx-innov4devx,Introductory,EPFLx
Learn how to increase brand engagement through the creation and distribution of content using an owned digital channel approach.,,4 weeks,FREE,Digital Branding and Engagement,Business & Management,3-4 hours per week,https://www.edx.org/course/digital-branding-engagement-curtinx-mkt1x-3,Intermediate,CurtinX
"Discover the fascinating world of aviation by investigating aeronautics, aerodynamics and flight mechanics.",,Missing,FREE,Introduction to Aeronautical Engineering,Engineering,"84 hours, self-paced",https://www.edx.org/course/introduction-aeronautical-engineering-delftx-ae1110x-2,Introductory,DelftX
"Join the transition towards a circular economy considering economic, supply chain, social, technical, managerial and environmental aspects.",Successful completion of BB01x and BB02x ,9 weeks,FREE,Circular Economy,Business & Management,15-20 hours per week,https://www.edx.org/course/circular-economy-wageningenx-bb05x,Advanced,WageningenX
A hands-on workshop to learn how to deploy and manage applications on Cloud Foundry. Grow from novice to knowledge-hound in your spare time!,,6 weeks,FREE,Introduction to Cloud Foundry and Cloud Native Software Architecture,Computer Science,3-4 hours per week,https://www.edx.org/course/introduction-cloud-foundry-cloud-native-linuxfoundationx-lfs132x,Introductory,LinuxFoundationX
"In this course thatâ€™s perfect for true beginners, learn Python basics and start coding right away.",None,5 weeks,FREE,Introduction to Python: Absolute Beginner,Computer Science,3-4 hours per week,https://www.edx.org/course/introduction-python-absolute-beginner-microsoft-dev236x,Introductory,Microsoft
"Learn the secret to writing well-tested and easy to improve programs, that will set you up to master any programming language","No programming experience required, but many experienced programmers take this course to become better programmers.",7 weeks,FREE,How to Code: Simple Data,Computer Science,8-10 hours per week,https://www.edx.org/course/how-code-simple-data-ubcx-htc1x,Introductory,UBCx
Gain first-hand experience of the UX design process as you take a UX design project from an initial sketch and develop it into a wireframe.,,3 weeks,FREE,UX Design: From Concept to Wireframe,Computer Science,3-4 hours per week,https://www.edx.org/course/ux-design-concept-wireframe-michiganx-ux505x,Intermediate,MichiganX
"Learn how to manage Master Data Management (MDM) solutions with SQL Server 2016 Master Data Services (MDS) to deliver authoritative, standardized, and validated versions of your data.",None,4 modules,FREE,Creating a Master Data Solution with SQL Server Master Data Services (MDS),Computer Science,3-4 hours per module,https://www.edx.org/course/creating-master-data-solution-sql-server-microsoft-dat226x,Intermediate,Microsoft
Learn about different career pathways in cybersecurity and complete a self-assessment project to better understand the right path for you.,Curiosity and interest in cybersecurity,4 weeks,FREE,Cybersecurity: Career Self-Assessment,Computer Science,2-5 hours per week,https://www.edx.org/course/cybersecurity-career-self-assessment-uwashingtonx-cyb004x,Introductory,UWashingtonX
Learn about the different parts of the central nervous system and how they work together with the entire body.,Basic biology,8 weeks,FREE,Anatomy: Human Neuroanatomy,Biology & Life Sciences,3-4 hours per week,https://www.edx.org/course/anatomy-human-neuroanatomy-michiganx-anatomy403-3x,Introductory,MichiganX
"Learn about the evolution of video games from experts at The Strong National Museum of Play, the worldâ€™s largest collection of video game materials.",None,5 weeks,FREE,Video Game Design History,Computer Science,3 hours per week,https://www.edx.org/course/video-game-design-history-ritx-game101x-0,Introductory,RITx
"A comprehensive introduction to American government and politicsâ€”its foundations, institutions, organizations, and policies.",Missing,16 weeks,FREE,American Government,Social Sciences,3 hours per week,https://www.edx.org/course/american-government-harvardx-hks101a-0,Introductory,HarvardX
"Learn how to think better, argue better, and choose better.",,12 weeks,FREE,The Science of Everyday Thinking,Business & Management,2 hours per week,https://www.edx.org/course/science-everyday-thinking-uqx-think101x-4,Introductory,UQx
"Learn how we develop over our lifetime, including our ability to think, communicate, and form social attachments.",None,8 weeks,FREE,Introduction to Developmental Psychology,Social Sciences,1 - 2 hours per week,https://www.edx.org/course/introduction-developmental-psychology-uqx-psyc1030-2x,Introductory,UQx
Learn the fundamental notions of quantum mechanics at a level that is accessible to everyone.,High school algebra and a desire to learn about bizarre but real phenomena,4 weeks,FREE,Quantum Mechanics for Everyone,Physics,7-10 hours per week,https://www.edx.org/course/quantum-mechanics-everyone-georgetownx-phyx-008-01x,Introductory,GeorgetownX
Learn how to classify projects by deal structure and customer type by examining global PPP mega-deals. ,Knowledge of corporate finance and basic credit analysis,3 weeks,Missing,Deal Structures in Project Finance,Economics & Finance,1 - 2 hours per week,https://www.edx.org/course/deal-structures-project-finance-new-york-institute-finance-pfppp1-pc2x,Introductory,New York Institute of Finance
"Learn about the various stages and participants in the project finance process, including the important role lenders play. ",Knowledge of corporate finance and basic credit analysis,3 weeks,Missing,The Project Finance Process,Economics & Finance,1 - 2 hours per week,https://www.edx.org/course/project-finance-process-new-york-institute-finance-pfppp1-pc3x,Introductory,New York Institute of Finance
Review multiple case studies and transactions to recognize how to select the best deals for investment. ,Knowledge of corporate finance and basic credit analysis,3 weeks,Missing,Deals in Project Finance: Case Studies and Analysis,Economics & Finance,1 - 2 hours per week,https://www.edx.org/course/deals-project-finance-case-studies-new-york-institute-finance-pfppp1-pc4x,Introductory,New York Institute of Finance
"Learn about the contracts and documents needed for a project, rating agencies, and the loan syndication process.",Knowledge of corporate finance and basic credit analysis,3 weeks,Missing,Documentation in Project Finance,Economics & Finance,1 - 2 hours per week,https://www.edx.org/course/documentation-project-finance-new-york-institute-finance-pfppp1-pc5x,Introductory,New York Institute of Finance
Review case studies and transactions to recognize the key political and currency risks in project finance.,Knowledge of corporate finance and basic credit analysis,3 weeks,Missing,Risks in Project Finance: Case Studies and Analysis,Economics & Finance,1 - 2 hours per week,https://www.edx.org/course/risks-project-finance-case-studies-new-york-institute-finance-pfppp1-pc6x,Introductory,New York Institute of Finance
Complete the required exam to earn your professional certificate in Project Finance and the Public Private Partnership from the New York Institute of Finance.,,Missing,Missing,Project Finance and the Public Private Partnership Examination,Economics & Finance,2 hours,https://www.edx.org/course/project-finance-public-private-new-york-institute-finance-pfppp1-pc7x,Introductory,New York Institute of Finance
Learn how to differentiate between financial and business risks.,,4 weeks,Missing,Introduction to Risk Management,Economics & Finance,2 hours per week,https://www.edx.org/course/introduction-risk-management-new-york-institute-finance-rmpc1-1x-0,Intermediate,New York Institute of Finance
Understand how to describe the various approaches utilized for determining value at risk.,,4 weeks,Missing,"Measuring Risk: Equity, Fixed Income, Derivatives and FX",Economics & Finance,2 hours per week,https://www.edx.org/course/measuring-risk-equity-fixed-income-new-york-institute-finance-rmpc1-2x-0,Intermediate,New York Institute of Finance
"Learn how to compare and contrast economic capital, risk capital and regulatory capital.",,4 weeks,Missing,Risk Management Tools and Practices,Economics & Finance,2 hours per week,https://www.edx.org/course/risk-management-tools-practices-new-york-institute-finance-rmpc1-3x-0,Intermediate,New York Institute of Finance
Learn how stress tests are used as the primary tool of risk regulation.,,4 weeks,Missing,Stress Testing and Risk Regulation â€“ Part 1,Economics & Finance,2 hours per week,https://www.edx.org/course/stress-testing-risk-regulation-part-1-new-york-institute-finance-rmpc1-4x-0,Intermediate,New York Institute of Finance
Learn how to define a reverse stress test and compare it to a conventional stress test.,,4 weeks,Missing,Stress Testing and Risk Regulation â€“ Part 2,Economics & Finance,2 hours per week,https://www.edx.org/course/stress-testing-risk-regulation-part-2-new-york-institute-finance-rmpc1-5x-0,Intermediate,New York Institute of Finance
Complete this exam to earn your professional certificate in Risk Management from the New York Institute of Finance.,You must complete the courses in the certificate program to sit for the exam:,Missing,Missing,Risk Management Professional Certificate Examination,Economics & Finance,1 hour,https://www.edx.org/course/risk-management-professional-certificate-new-york-institute-finance-rmpc1-6x-0,Intermediate,New York Institute of Finance
Gain a solid foundation in mergers & acquisitions to kick-start your career in finance.,None,4 weeks,Missing,M&A: Concepts and Theories,Economics & Finance,1-2 hours per week,https://www.edx.org/course/ma-concepts-theories-new-york-institute-finance-ma1-1x,Intermediate,New York Institute of Finance
"Learn advanced topics in M&A including financial accounting, financing the deal, and the all-important understanding of the sellerâ€™s viewpoint.",None,4 weeks,Missing,M&A Concepts and Theories: Advanced Topics,Economics & Finance,1-2 hours per week,https://www.edx.org/course/ma-concepts-theories-advanced-topics-new-york-institute-finance-ma1-2x,Intermediate,New York Institute of Finance
"Learn how M&A deals are structured and understand the various documents, legal structures and tax considerations needed to execute a deal.",None,4 weeks,Missing,M&A: Structuring the Deal,Economics & Finance,1-2 hours per week,https://www.edx.org/course/ma-structuring-deal-new-york-institute-finance-ma1-3x,Intermediate,New York Institute of Finance
Learn how to evaluate a companyâ€™s financial performance to determine acquisition opportunities.,None,4 weeks,Missing,M&A: Free Cash Flow (FCF) Modeling,Economics & Finance,1-2 hours per week,https://www.edx.org/course/ma-free-cash-flow-fcf-modeling-new-york-institute-finance-ma1-4x,Intermediate,New York Institute of Finance
Learn how to apply accounting and federal income tax principles to project earnings and cash flows.,None,4 weeks,Missing,Accounting Principles for M&A,Economics & Finance,1-2 hours per week,https://www.edx.org/course/accounting-principles-ma-new-york-institute-finance-ma1-5x,Intermediate,New York Institute of Finance
Complete the required exam to earn your professional certificate in Mergers & Acquisitions from the New York Institute of Finance.,,Missing,Missing,M&A Professional Certificate Examination,Economics & Finance,1 hour,https://www.edx.org/course/ma-professional-certificate-examination-new-york-institute-finance-ma1-6x,Advanced,New York Institute of Finance
Accelerate your IT career in a cloud-enabled world by learning the basics of Windows Server computing.,"â—è Learners should have some general understanding of client and server architectures.
â—è As Windows PowerShell will be used to implement features in this course, learners should have a good foundation in accessing and using simple Windows PowerShell commands.",6 weeks,FREE,Windows Server 2016: Infrastructure,Computer Science,4-5 hours per week,https://www.edx.org/course/windows-server-2016-infrastructure-microsoft-inf211x,Introductory,Microsoft
"Develop practical communication skills to mend divides and build a more tolerant and inclusive world through this ""mini-course.""",None,1 week,FREE,Communication Skills for Bridging Divides,Communication,45 minutes - 1 hour per week,https://www.edx.org/course/communication-skills-bridging-divides-catalystx-ildiv1x-0,Introductory,CatalystX
Master the foundational math concepts that drive robotics and put them into practice using MATLAB.,,12 weeks,FREE,Robotics: Fundamentals,Engineering,8-10 hours per week,https://www.edx.org/course/robotics-fundamentals-pennx-robo1x,Advanced,PennX
Use the skills and knowledge gained through User Experience (UX) Research and Design MicroMasters Program courses to design and conduct a complete UX project.,,8 weeks,FREE,UX (User Experience) Capstone,Design,4-5 hours per week,https://www.edx.org/course/ux-user-experience-capstone-michiganx-ux509x,Intermediate,MichiganX
Learn to program in an easy and interactive way and enter the fascinating world of computer science.,"It is recommended to be familiar with the topics covered in Introduction to Introduction to programming with Java, Part 1: Starting to Code with Java.",5 weeks,FREE,Introduction to Programming with Java: Writing Good Code,Computer Science,5-7 hours per week,https://www.edx.org/course/introduction-programming-java-writing-uc3mx-it-1-2x-0,Introductory,UC3Mx
An introduction to the study of bioethics and the application of legal and ethical reasoning.,None,7 weeks,FREE,"Bioethics: The Law, Medicine, and Ethics of Reproductive Technologies and Genetics",Law,2-3 hours per week,https://www.edx.org/course/bioethics-law-medicine-ethics-harvardx-hls4x-0,Introductory,HarvardX
Recognize the value of your data and leverage information assets to achieve business objectives using evidence-based practices.,Students are required to have completed EBM01x. This course is a graduate level course that assumes an undergraduate degree level understanding in a non-cognate area.,6 weeks,FREE,Evidence-Based Technology Management,Business & Management,8-10 hours per week,https://www.edx.org/course/evidence-based-technology-management-anux-ebm06x,Intermediate,ANUx
"Introduction to Bioethics explores some of the most difficult - and fascinating - moral challenges we face in health, medicine, and emerging technologies.",,10 weeks,FREE,Introduction to Bioethics,Biology & Life Sciences,3-5 hours per week,https://www.edx.org/course/introduction-bioethics-georgetownx-phlx-101x,Introductory,GeorgetownX
Explore German Opera as we learn to listen to music in new ways.,None,4 weeks,FREE,Introduction to German Opera,Music,3-4 hours per week,https://www.edx.org/course/introduction-german-opera-dartmouthx-dart-mus-02x,Introductory,DartmouthX
Learn to design meaningful products and services in this introductory design course.,,7 weeks,FREE,Product Design: The Delft Design Approach,Design,6-8 hours per week,https://www.edx.org/course/product-design-delft-design-approach-delftx-dda691x-2,Intermediate,DelftX
Understand how solar cells generate electricity. Learn about semiconductor physics and optics required to design and manufacture solar cells.,Bachelorâ€™s degree in Science or Engineering or the successful completion of TU Delftâ€™s MOOC Solar Energy.,11 weeks,FREE,Solar Energy: Photovoltaic (PV) Energy Conversion,Engineering,10 hours per week,https://www.edx.org/course/solar-energy-photovoltaic-pv-energy-delftx-pv1x-0,Advanced,DelftX
The game of framing and reframing. Analyze how politicians debate and what the underlying patterns are in the game of framing and reframing.,None,6 weeks,FREE,Framing: How Politicians Debate,Communication,2-4 hours per week,https://www.edx.org/course/framing-how-politicians-debate-delftx-frame101x-0,Introductory,DelftX
"Learn Spanish and explore Spanish culture in this introductory language course, designed for English speakers.",None,7 weeks,FREE,Basic Spanish 1: Getting Started,Education & Teacher Training,4 hours per week,https://www.edx.org/course/basic-spanish-1-getting-started-upvalenciax-bsp101x,Introductory,UPValenciaX
Uncover the secrets of thinking like an entrepreneur to create value for stakeholders and society across a variety of business settings.,None,4 weeks,FREE,The Entrepreneurial Mindset,Business & Management,4-6 hours per week,https://www.edx.org/course/entrepreneurial-mindset-babsonx-bpet-etax-0,Introductory,BabsonX
This course is ideal for school teachers who want to improve their teaching through valuable data-driven insights.,None,6 weeks,FREE,Analytics for the Classroom Teacher,Education & Teacher Training,4 hour per week,https://www.edx.org/course/analytics-classroom-teacher-curtinx-edu1x-0,Introductory,CurtinX
Learn the principles of project management and apply them in your own work and life.,None,6 weeks,FREE,Introduction to Project Management,Business & Management,2-3 hours per week,https://www.edx.org/course/introduction-project-management-adelaidex-project101x-1,Introductory,AdelaideX
Learn about the physical phenomena at play in astronomical objects and link theoretical predictions to observations.,,7 weeks,FREE,Introduction to Astrophysics,Science,2-4 hours per week,https://www.edx.org/course/introduction-astrophysics-epflx-phys-209-enx,Introductory,EPFLx
Learn about statistical methods used to identify genetic variants responsible for phenotypes.,,4 weeks,FREE,Introduction to Statistical Methods for Gene Mapping,Data Analysis & Statistics,2-3 hours per week,https://www.edx.org/course/introduction-statistical-methods-gene-kyotoux-005x-1,Advanced,KyotoUx
"This course will teach you how to use jQuery to simplify common tasks in JavaScript, allowing the you to quickly add interactivity to web pages.",,3 weeks,FREE,Introduction to jQuery,Computer Science,3 - 4 hours per week,https://www.edx.org/course/introduction-jquery-microsoft-dev208x-2,Intermediate,Microsoft
Learn how to generate ideas at the interface between chemistry and biology.,,13 weeks,FREE,The Chemistry of Life,Biology & Life Sciences,3 hours per week,https://www.edx.org/course/chemistry-life-kyotoux-001x-2,Introductory,KyotoUx
Learn how to analyze and understand the difficult dynamics of customer service. ,None. This course is designed for undergraduate and graduate students who are interested in services.,8 weeks,FREE,Culture of Services: New Perspective on Customer Relations,Business & Management,2-3 hours per week,https://www.edx.org/course/culture-services-new-perspective-kyotoux-002x-1,Introductory,KyotoUx
Gain a solid foundation in developing and testing device-friendly websites using the power of CSS.,,4 weeks,FREE,Advanced CSS Concepts,Computer Science,3 hours per week,https://www.edx.org/course/advanced-css-concepts-microsoft-dev218x-0,Intermediate,Microsoft
"Begin programming with AngularJS, a complete JavaScript-based open-source client and server-side web application framework that allows you to use HTML as your template language.",,5 weeks,FREE,AngularJS: Framework Fundamentals,Computer Science,2-3 hours per week,https://www.edx.org/course/angularjs-framework-fundamentals-microsoft-dev220x-0,Intermediate,Microsoft
"Learn how to use current open source tools such as Node.js , Boostrap, Font Awesome and the NPM to improve your web development proficiency.",,5 weeks,FREE,Using Open Source Web Tooling to Improve Development Proficiency,Computer Science,3-5 hours per week,https://www.edx.org/course/using-open-source-web-tooling-improve-microsoft-dev222x-0,Intermediate,Microsoft
Learn how to make your application lifecycle faster and more predictable for both developers and the operations team.,,4 weeks,FREE,Introduction to DevOps,Computer Science,2-3 hours per week,https://www.edx.org/course/introduction-devops-microsoft-dev212x-2,Introductory,Microsoft
"Learn the essential skills to create an interactive web application using HTML5, JavaScript.",Some light experience with software development is helpful but not necessary.,5 weeks,FREE,Introduction to HTML and JavaScript,Computer Science,2-3 hours per week,https://www.edx.org/course/introduction-html-javascript-microsoft-dev211-1x-1,Introductory,Microsoft
Learn how to use Bootstrap to implement mobile first web pages with CSS and JavaScript.,,3 weeks,FREE,Introduction to Bootstrap â€“ A Tutorial,Computer Science,1-2 hours per week,https://www.edx.org/course/introduction-bootstrap-tutorial-microsoft-dev203x-2,Intermediate,Microsoft
"Explore rocket science from ancient Chinese weaponry to NASAâ€™s race to get a man on the moon.
 ",None,4 weeks,FREE,From Goddard to Apollo â€“ Part 1: The Rocketsâ€™ Red Glare,History,1 hour per week,https://www.edx.org/course/goddard-apollo-part-1-rockets-red-glare-ieeex-atg1-x,Introductory,IEEEx
Learn how technical standards are key to product innovation and business success.,Missing,6 weeks,FREE,Innovation and Competition: Succeeding through Global Standards,Engineering,Total Effort: 12-18 hours,https://www.edx.org/course/innovation-competition-succeeding-ieeex-standards01-x-1,Introductory,IEEEx
"En este curso analizaremos algunos interrogantes Ã©ticos y jurÃ_dicos que suscita el trasplante de Ã_rganos.
 
In this course we will assess the ethical and legal challenges posed by organ transplantation.",None,9 weeks,FREE,Trasplante de Ã_rganos - desafÃ_os Ã©ticos y jurÃ_dicos | Organ Transplantation - Ethical and Legal Challenges,Law,4-6 hours per week,https://www.edx.org/course/trasplante-de-organos-desafios-eticos-y-uamx-txetj201x-2,Intermediate,UAMx
